Study_ID,Model_Config,Dataset,Task,Split_or_Cohort,Metric,Result,CI_or_SD,Baseline_Type,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38
S001,Flan-T5 best configuration,Institutional + MIMIC-III cohorts,SDoH extraction,NR,Macro-F1,0.71,,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S002,GPT-4 / LLM extraction,Unstructured discharge letters,Information extraction,NR,Extraction performance,NR,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S003,BioGPT,PubMedQA,Biomedical QA,NR,Accuracy,78.2,percent,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S004,Med-PaLM / Flan-PaLM,MedQA (USMLE),Medical QA,NR,Accuracy,67.6,percent,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S005,GPT-4,Surgical knowledge assessments,Surgical knowledge QA,NR,Score / accuracy,NR,NR,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S006,Mental-Alpaca / Mental-FLAN-T5,Multiple mental-health datasets,Mental-health prediction,NR,Balanced-accuracy improvement,10.9,percentage points vs best GPT-3.5,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S007,DeepMed-RL-14B,HLE-Med; MedXpert; MMLU-Pro-Med; PubMedQA; MedMCQA; MedQA-USMLE; CMExam,Medical QA / complex medical reasoning with iterative web search,"Evaluation sets: 149; 2,450; 1,535; 500; 4,183; 1,273; 6,811 questions, respectively",Accuracy (mean across 7 benchmarks),0.6953,NR,Base model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S008,GPT-4,MIMIC-CXR / Open-i,Radiology multi-task NLP,NR,Absolute improvement on classification/NLI,10,approx. percentage points,SOTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S009,Italian BioBERT / GPT-4,"10,000 Italian CT reports",Hierarchical classification,NR,Relative comparison,BERT > GPT-4,,Traditional ML/DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S010,GPT-3.5-turbo + definitions,162 lung cancer CT reports,TNM classification,NR,M-stage accuracy,94,percent,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S011,Fine-tuned Mistral,"123,296 MRI/CT reports",Normal/abnormal classification,NR,Accuracy,0.998,proportion,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S012,GPT-4 zero-shot,769 UCSF pathology reports,12 breast pathology classification tasks,NR,Macro-F1,0.86,,Traditional ML/DL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
