Variable,Definition,Allowed Values / Coding Rule,Example / Note
Fusion_Stage,Where multimodal fusion occurs in the pipeline.,F0 No fusion; F1 Input/data-level; F2 Representation-level; F3 Deep/token-level interactive; F4 Decision-level; F5 Hybrid/multi-stage,Code the dominant demonstrated fusion stage; use F5 only when multiple fusion stages are explicitly combined.
Fusion_Operator,Mechanism used to combine or align modalities.,Concatenation; Linear projection; MLP; Cross-attention; Bidirectional cross-attention; Q-Former/query tokens; Gated fusion; Attention weighting; MoE; Graph fusion; Tensor/bilinear fusion; Textual transformation; Decision ensemble; Other; NR,Multiple values may be entered separated by semicolons.
Fusion_Granularity,Granularity at which cross-modal information is integrated.,G1 Global; G2 Region-level; G3 Patch/token-level; G4 Concept-level; G5 Patient-level; G6 Longitudinal; G7 Multi-granular,Use G7 when the study explicitly combines two or more granularities.
Fusion_Directionality,Direction of cross-modal information exchange.,Unidirectional; Bidirectional; Iterative; NR,Text queries image features = unidirectional; image↔text interaction = bidirectional.
Temporal_Fusion,Whether information is fused across time.,None; Prior-current; Longitudinal; NR,Longitudinal requires multiple time points or encounters.
Personalization_Level,Degree of demonstrated patient-specific capability.,P0 Population-level; P1 Static patient context; P2 Multimodal patient contextualization; P3 Longitudinal personalization; P4 Adaptive patient-specific reasoning; P5 Clinically validated personalized decision support,"Assign conservatively from demonstrated methods/evidence, not authors' claims."
Retrieval_Type,Retrieval strategy used at inference or reasoning time.,None; Static external context; RAG; Hybrid RAG; Graph-RAG; Multimodal RAG; Patient-specific RAG; Multi-round RAG; Agentic retrieval; Other; NR,Generic RAG is not automatically patient-specific RAG.
Reasoning_Mechanism,Explicit mechanism used to structure or improve reasoning.,None explicitly; Prompted CoT; Supervised reasoning; Self-consistency; Self-reflection; Verification; RL-based reasoning; Tool-augmented reasoning; Agentic reasoning; Multi-agent; Other; NR,Record only what is actually implemented/evaluated.
Risk_Mitigation_Evidence,Strength of evidence supporting a safety/risk mitigation claim.,R0 Not investigated; R1 Proposed only; R2 Qualitative evidence; R3 Quantitative benchmark evidence; R4 External/clinical evidence; R5 Prospective/workflow evidence,"The level reflects evidence strength, not novelty."
Translational_Evidence_Level,Maturity of evidence from benchmark testing to clinical translation.,T0 Benchmark only; T1 Retrospective clinical evaluation; T2 Generalizability evaluation; T3 Prospective clinical evaluation; T4 Workflow impact; T5 Clinical outcome/regulatory evidence,Clinician review is captured separately and does not automatically raise T-level.
Fusion_Gain_Eligible,Whether multimodal-vs-unimodal results are scientifically comparable.,Yes; No,"Yes only if dataset, split, task, metric, and evaluation protocol are directly comparable."
Delta_Fusion,Performance gain attributable to fusion when eligible.,Numeric; leave blank when not eligible,Higher-is-better: multimodal − strongest unimodal. Lower-is-better: strongest unimodal − multimodal.
Coding_Confidence,Reviewer confidence in the extracted/coded value.,High; Moderate; Low,Use Low when architecture or evaluation details are ambiguous.
Evidence_Location,Where the coded evidence appears in the source paper.,Free text,Example: Methods §3.2; Fig. 2; Table 4; Supplementary Table S3.
NR,Standard missing-information code.,NR = Not Reported,Use NR instead of guessing or inferring missing details.
