Study_ID,Year,Title,Venue,Publication_Type,Clinical_Domain,Clinical_Task,Task_Type,Model_Name,Model_Era,Open_or_Closed,Data_Source,Dataset_Name,Study_Design,External_Validation,Code_Available,Weights_Available,Data_Available,DOI_or_URL,Coding_Confidence,Primary_Paradigm,Fusion_Stage,RAG,Agent_or_Tool_Use,Personalization_Level,Retrieval_Type,Agentic_Reasoning,Risk_Mitigation_Evidence,Translational_Evidence_Level
S001,2024,Large language models to identify social determinants of health in electronic health records,npj Digital Medicine,Journal,EHR / SDoH,SDoH extraction,Information extraction,Flan-T5 XL/XXL,Generative LLM,Mixed,Both,Radiotherapy notes; immunotherapy notes; MIMIC-III notes,Retrospective multi-cohort evaluation,Yes,NR,NR,Mixed,https://doi.org/10.1038/s41746-023-00970-0,High,Generative LLMs,F0,No,No,P1,None,No,R3,T2
S002,2025,An automated information extraction model for unstructured discharge letters using large language models and GPT-4,Healthcare Analytics,Journal,Hospital medicine / EHR,Structured extraction from discharge letters,Information extraction,GPT-4 / LLM extraction pipeline,Generative LLM,Mixed,Private,Unstructured discharge letters,Retrospective comparative evaluation,No,NR,NR,Private,https://doi.org/10.1016/j.health.2024.100378,High,Generative LLMs,F0,No,No,P1,None,No,R0,T1
S003,2022,BioGPT: generative pre-trained transformer for biomedical text generation and mining,Briefings in Bioinformatics,Journal,Biomedical NLP,Biomedical relation extraction and QA,Generative biomedical LM,BioGPT,Generative LLM,Open,Public,BC5CDR; KD-DTI; DDI; PubMedQA,Public benchmark model-development study,No,Yes,Yes,Public,https://doi.org/10.1093/bib/bbac409,High,Generative LLMs,F0,No,No,P0,None,No,R0,T0
S004,2023,Large language models encode clinical knowledge,Nature,Journal,General medicine / QA,Medical question answering,Medical QA,Med-PaLM,Generative LLM,Closed,Public,MultiMedQA,Benchmark + clinician evaluation,No,No,No,Public,https://doi.org/10.1038/s41586-023-06291-2,High,Generative LLMs,F0,No,No,P0,None,No,R3,T0
S005,2024,Evaluating capabilities of large language models: performance of GPT-4 on surgical knowledge assessments,Surgery,Journal,Surgery,Surgical knowledge assessment,Clinical QA,GPT-4,Generative LLM,Closed,Public,Surgical knowledge assessments,Comparative benchmark evaluation,No,No,No,Public,https://doi.org/10.1016/j.surg.2023.12.014,High,Generative LLMs,F0,No,No,P0,None,No,R0,T0
S006,2024,Mental-LLM: Leveraging large language models for mental health prediction via online text data,PACM IMWUT,Journal,Mental health / digital phenotyping,Mental-health prediction from online text,Prediction / longitudinal NLP,Mental-LLM,Generative LLM,Open,Public,Multiple online mental-health text datasets,Multi-dataset retrospective evaluation,Yes,Yes,NR,Public,https://doi.org/10.1145/3643540,High,Generative LLMs,F0,No,No,P3,None,No,R0,T2
S007,2026,DeepMed: Building a Medical DeepResearch Agent via Multi-hop Med-Search Data and Turn-Controlled Agentic Training & Inference,Findings of ACL 2026,Conference,General clinical medicine,Complex medical reasoning with iterative evidence search,Medical QA / agentic reasoning,DeepMed-RL-14B,Reasoning-Agentic,Open,Public benchmarks + web evidence,HLE-Med; MedXpert; MMLU-Pro-Med; PubMedQA; MedMCQA; MedQA-USMLE; CMExam,Benchmark agentic reasoning/model-development study,No,NR,NR,Mixed,https://doi.org/10.18653/v1/2026.findings-acl.904,High,Reasoning / agentic systems,F0,Yes,Yes,P0,Agentic retrieval,Yes,R3,T0
S008,2023,Exploring the boundaries of GPT-4 in radiology,EMNLP 2023,Conference,Radiology / NLP,Multi-task radiology language evaluation,Classification / NLI / summarization,GPT-4,Generative LLM,Closed,Public,MIMIC-CXR; Open-i; radiology tasks,Multi-task benchmark evaluation,No,No,No,Public,https://doi.org/10.18653/v1/2023.emnlp-main.891,High,Generative LLMs,F0,No,No,P0,None,No,R2,T0
S009,2024,"Language models for hierarchical classification of radiology reports with attention mechanisms, BERT, and GPT-4",IEEE Access,Journal,Radiology / report classification,Hierarchical CT-report classification,Classical encoder vs GPT-4,Italian BioBERT / GPT-4,Generative LLM,Mixed,Private,"10,000 Italian CT reports",10-fold cross-validation comparison,No,NR,Mixed,Private,https://doi.org/10.1109/ACCESS.2024.3402066,High,Generative LLMs,F0,No,No,P0,None,No,R0,T1
S010,2024,Exploring multilingual large language models for enhanced TNM classification of radiology report in lung cancer staging,Cancers,Journal,Thoracic radiology / lung cancer,TNM classification from CT reports,Multilingual report classification,GPT-3.5-turbo,Generative LLM,Closed,Public,162 English/Japanese lung cancer CT reports,Prompt-comparison evaluation,No,No,No,Public,https://doi.org/10.3390/cancers16213621,High,Generative LLMs,F0,No,No,P0,Static external context,No,R3,T0
