Study_ID,Model_Config,Input_Text,Input_2D_Image,Input_3D_Image,Input_Pathology_WSI,Input_EHR,Input_Tabular_Clinical,Input_Labs,Vision_Encoder,LLM_Backbone,Alignment_Module,Fusion_Stage,Fusion_Operator,Fusion_Directionality,Temporal_Fusion,Missing_Modality_Handling,Pretraining_Strategy,Adaptation_Strategy,CPT,SFT,PEFT,ICL,RL_or_RLHF,RAG,Agent_or_Tool_Use,Unnamed_27
S001,Flan-T5 XL/XXL,Yes,No,No,No,Yes,No,No,NR,Flan-T5 XL/XXL,NR,F0,NR,Unidirectional,None,NR,Pretrained model,Prompting + synthetic-data augmentation / task evaluation,No,NR,NR,Yes,No,No,No,
S002,GPT-4 / LLM extraction pipeline,Yes,No,No,No,Yes,No,No,NR,GPT-4 + comparator LLMs,NR,F0,NR,Unidirectional,None,NR,Pretrained model,Prompt-based structured extraction,No,NR,NR,Yes,No,No,No,
S003,BioGPT 347M,Yes,No,No,No,No,No,No,NR,BioGPT (GPT-2-style decoder),NR,F0,NR,Unidirectional,None,NR,Causal LM on ~15M PubMed abstracts,Task fine-tuning / generation,Yes,Yes,NR,NR,No,No,No,
S004,Med-PaLM / Flan-PaLM,Yes,No,No,No,No,No,No,NR,PaLM / Flan-PaLM,NR,F0,NR,Unidirectional,None,NR,Large-scale PaLM pretraining,Medical instruction prompt tuning,No,Yes,NR,Yes,No,No,No,
S005,GPT-4,Yes,No,No,No,No,No,No,NR,GPT-4,NR,F0,NR,Unidirectional,None,NR,Pretrained model,Prompt-based surgical knowledge assessment,No,NR,NR,Yes,No,No,No,
S006,Mental-LLM,Yes,No,No,No,No,No,No,NR,Alpaca / FLAN-T5 / GPT comparators,NR,F0,NR,Unidirectional,Longitudinal,NR,Pretrained model,Mental-health domain fine-tuning,No,Yes,Yes,NR,No,No,No,
S007,DeepMed-RL-14B,Yes,No,No,No,No,No,No,NR,Qwen3-14B,NR,F0,NR,NR,None,NR,Pretrained Qwen3-14B,"Agentic SFT on 5,437 multi-hop Med-Search QA + GRPO agentic RL on 6,304 hard medical QA + difficulty-aware turn penalty + Over-Evidence Monitor",No,Yes,No,No,Yes,Yes,Yes,
S008,GPT-4 radiology,Yes,No,No,No,Yes,No,No,NR,GPT-4,NR,F0,NR,Unidirectional,None,NR,Pretrained model,Zero-/few-shot prompting across radiology NLP tasks,No,NR,NR,Yes,No,No,No,
S009,Italian BioBERT / GPT-4,Yes,No,No,No,No,No,No,NR,GPT-4 comparator,NR,F0,NR,Unidirectional,None,NR,Pretrained model,Supervised BERT fine-tuning vs GPT-4 prompting,No,Yes,NR,Yes,No,No,No,
S010,GPT-3.5-turbo,Yes,No,No,No,No,No,No,NR,GPT-3.5-turbo,NR,F0,NR,Unidirectional,None,NR,Pretrained model,Multilingual prompting + TNM definitions,No,NR,NR,Yes,No,No,No,
S011,Mistral ZSL/FSL/FT,Yes,No,No,No,No,No,No,NR,Mistral,NR,F0,NR,Unidirectional,None,NR,Pretrained model,Zero-shot / few-shot / supervised fine-tuning comparison,No,Yes,NR,Yes,No,No,No,
S012,GPT-4 zero-shot,Yes,No,No,No,No,No,No,NR,GPT-4,NR,F0,NR,Unidirectional,None,NR,Pretrained model,Zero-shot prompting vs supervised classifier,No,NR,NR,Yes,No,No,No,
S013,Path-Llama3.1 / Path-GPT-4o-mini-FT,Yes,No,No,No,No,No,No,NR,Llama 3.1 8B / GPT-4o-mini,NR,F0,NR,Unidirectional,None,NR,Pretrained model,Pathology-specific supervised fine-tuning,No,Yes,NR,NR,No,No,No,
S014,EHR-RAG (GPT-5 / Claude-Opus-4.5 / LLaMA-3.1-8B),Yes,No,No,No,Yes,Yes,Yes,NR,GPT-5; Claude-Opus-4.5; LLaMA-3.1-8B,Event/time-aware retrieval + iterative reasoning,F0,No multimodal fusion; structured EHR retrieval and evidence aggregation,Iterative,Longitudinal,Retrieval handles variable event history,NR,RAG + adaptive iterative retrieval + counterfactual evidence reasoning,No,No,No,No,No,Yes,Yes,
S015,ChatHealthAI,Yes,No,No,No,Yes,Yes,Yes,CLMBR-T-Base EHR foundation model,DeepSeek-R1-Distill-Qwen-14B,Task-aware resampler,F2,Task-aware resampling / latent EHR-to-LLM alignment + refined event text,Unidirectional,Longitudinal,NR,CLMBR-T-Base pretrained on 2.57M deidentified EHRs,Reasoning-supervised multimodal alignment,No,Yes,No,No,No,No,No,
