Study_ID,Demographics,Patient_History,Current_Clinical_Context,Imaging,Reports,Labs,Medications,Comorbidities,Prior_Imaging,Prior_Visits,Patient_Preferences,Longitudinal_Modeling,Patient_Context_Used,Multimodal_Patient_Context,Patient_Conditioned_Retrieval,Individualized_Recommendation,Personalization_Ablation,Personalization_Level,Retrieval_Type,Knowledge_Source,Tool_Use,Agentic_Reasoning,Hallucination_Assessed,Hallucination_Mitigation,Risk_Mitigation_Evidence,Translational_Evidence_Level,Unnamed_28,Unnamed_29
S001,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,P1,None,Clinical note text,No,No,NR,NR,R3,T2,,
S002,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,P1,None,Discharge-letter text,No,No,NR,NR,R0,T1,,
S003,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,PubMed biomedical literature,No,No,NR,NR,R0,T0,,
S004,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Parametric knowledge + medical instruction tuning,No,No,Yes,NR,R3,T0,,
S005,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Parametric GPT-4 surgical knowledge,No,No,NR,NR,R0,T0,,
S006,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,P3,None,Longitudinal user-generated online text,No,No,NR,NR,R0,T2,,
S007,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,Agentic retrieval,"Open-web medical evidence via Search and Visit tools; sources include medical literature, clinical references, medical education, public-health sites, and other web sources",Yes,Yes,Yes,Iterative web evidence grounding + difficulty-aware turn penalty + Over-Evidence Monitor,R3,T0,,
S008,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Radiology benchmark text,No,No,NR,NR,R2,T0,,
S009,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Radiology report text,No,No,NR,NR,R0,T1,,
S010,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,Static external context,Prompt-injected TNM staging definitions,No,No,NR,NR,R3,T0,,
S011,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Radiology report text,No,No,NR,NR,R0,T1,,
S012,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Pathology report text,No,No,NR,NR,R0,T1,,
S013,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Pathology report text,No,No,NR,NR,R0,T2,,
S014,Yes,Yes,Yes,No,No,Yes,Yes,Yes,NR,Yes,NR,Yes,Yes,No,Yes,No,Yes,P4,Patient-specific RAG,Longitudinal structured EHR events,No,Yes,No,NR,R0,T0,,
S015,NR,Yes,Yes,NR,NR,Yes,Yes,Yes,NR,Yes,NR,Yes,Yes,Yes,No,No,Yes,P3,None,Longitudinal EHR trajectories + pretrained CLMBR representation,No,No,No,NR,R0,T0,,
S016,NR,Yes,Yes,Yes,Yes,Yes,NR,NR,Yes,NR,NR,No,Yes,Yes,NR,NR,NR,P2,None,Patient summary + EHR + CXR + radiology reports,No,Yes,NR,NR,R3,T1,,
S017,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,No,NR,NR,NR,P0,Multi-round RAG,External medical evidence retrieved iteratively,Yes,Yes,No,Multi-round evidence retrieval driven by semantic conflict,R1,T0,,
S018,NR,Yes,Yes,Yes,Yes,Yes,NR,NR,NR,NR,NR,No,Yes,Yes,NR,NR,Yes,P2,None,Clinical notes + chest radiographs + tabular EHR/laboratory data,Yes,Yes,No,NR,R0,T2,,
S019,Yes,Yes,Yes,Yes,Yes,NR,NR,NR,NR,Yes,NR,Yes,Yes,Yes,Yes,Yes,NR,P4,Agentic retrieval,"Adaptive RAG (book/web), patient dialogue, measurements, images, notebook memory",Yes,Yes,No,NR,R3,T1,,
S020,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,NR,NR,Yes,Yes,Yes,Yes,NR,P4,Agentic retrieval,"OncoKB, PubMed, Google, oncology guidelines + multimodal tools",Yes,Yes,Yes,"Evidence retrieval, guideline citations, specialist-tool outputs",R3,T0,,
S021,Yes,Yes,Yes,NR,Yes,Yes,Yes,Yes,NR,NR,NR,NR,Yes,Yes,Yes,Yes,NR,P4,Agentic retrieval,"Sandboxed MIMIC-IV EHR with 11 tool classes and >85,000 options",Yes,Yes,Yes,NR,R3,T1,,
S022,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,No,NR,NR,NR,P0,Multi-round RAG,Radiopaedia.org,Yes,Yes,Yes,Iterative evidence retrieval and synthesis,R3,T0,,
S023,Yes,Yes,Yes,NR,NR,NR,Yes,Yes,NR,NR,NR,NR,Yes,No,Yes,Yes,NR,P4,Patient-specific RAG,35 local + 23 international perioperative guidelines,Yes,No,Yes,Guideline-grounded RAG,R3,T0,,
S024,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,No,NR,NR,NR,P0,None,MedQA question content,No,No,No,NR,R3,T0,,
S025,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,No,No,No,NR,NR,NR,P0,None,MIMIC-CXR image/report-derived labels,No,No,Yes,Structured VQA prompts; length-based risk triggers; calibration-weighted and label-aware ensembles,R3,T0,,
S026,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,P3,Static external context,Longitudinal clinical notes + UMLS terminology,No,No,NR,NR,R0,T2,,
S027,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,3D brain CT,No,No,NR,NR,R3,T2,,
S028,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Current chest X-ray,No,No,NR,NR,R0,T0,,
S029,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Biomedical image + instruction,No,No,NR,NR,R0,T0,,
S030,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Current CXR + grounded regional annotations,No,No,Yes,Region-grounded generation / refer-and-ground supervision,R3,T0,,
S031,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Current medical image,No,No,NR,NR,R0,T0,,
S032,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Biomedical image + question,No,No,NR,NR,R0,T0,,
S033,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Medical image + question,No,No,NR,NR,R3,T0,,
S034,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,P2,None,Image + question + structural/causal features,No,No,NR,NR,R0,T0,,
S035,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Image + question,No,No,NR,NR,R0,T0,,
S036,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Image + question + adaptive visual prompts,No,No,NR,NR,R0,T0,,
S037,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Image + question,No,No,NR,NR,R3,T0,,
S038,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Medical Verifiable Problems,No,No,No,NR,R3,T0,,
S039,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,Other,NCBI Web APIs / biomedical databases,Yes,No,No,NR,R3,T0,,
S040,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Prompt demonstrations + clinical text,No,No,No,NR,R0,T0,,
S041,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Chest radiograph + prompt,No,No,NR,NR,R3,T0,,
S042,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Laryngeal-cancer images + clinical questions,No,No,NR,NR,R3,T1,,
S043,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,Static external context,In-context labeled pathology images/examples,No,No,NR,NR,R0,T0,,
S044,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,Medical image + multilingual prompt,No,No,NR,NR,R3,T2,,
S045,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,P2,None,Histopathology image + structured clinical context,No,No,Yes,NR,R4,T1,,
S046,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,P0,None,MultiMedBench multimodal task inputs,No,No,Yes,NR,R3,T2,,
S047,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,P2,None,Patient 3D planning CT + structured clinical text,No,No,NR,NR,R4,T2,,
S048,NR,NR,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,NR,Yes,Yes,NR,NR,NR,P2,RAG,Optional evidence-grounded retrieval/tools plus medical images,Yes,Yes,Yes,RoI-grounded factualness evaluation and optional retrieval/tool use,R3,T2,,
S049,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,Yes,Yes,Yes,NR,NR,NR,P3,None,Longitudinal EHR + ECG + CXR + clinical notes,NR,NR,No,NR,R0,T1,,
S050,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,Yes,Yes,NR,NR,NR,P2,None,Multiple mpMRI sequences from the same patient,NR,NR,No,NR,R0,T2,,
S051,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,None,3D CT + task instruction,NR,NR,No,NR,R3,T0,,
S052,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,None,Image + textual/visual region prompts,NR,NR,No,NR,R0,T0,,
S053,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,None,Dual 2D/3D representations of the same CT volume,NR,NR,No,NR,R0,T0,,
S054,NR,NR,NR,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,None,3D CT + pseudo-masks + automatically extracted lesion attributes,NR,NR,No,NR,R3,T2,,
S055,NR,NR,NR,Yes,NR,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,None,3D CT + language/point/box prompts,NR,NR,No,NR,R0,T0,,
S056,NR,NR,NR,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,None,Hierarchical WSI visual representations + pathology reports,NR,NR,No,NR,R0,T0,,
S057,NR,NR,NR,Yes,Yes,NR,NR,NR,NR,NR,NR,NR,No,No,NR,NR,NR,P0,None,"Medical images, documents, reasoning and segmentation supervision",NR,NR,No,NR,R0,T0,,
